date,WHO_region_name,threshold_val,threshold_type,need_standardize,final_contrbX,weight_type,risk_type
2020-08-26,Europe,0,wp,TRUE,0.2139716899206784,mixed,risk_contribution
2020-08-27,Africa,0,wp,TRUE,0.09716133295064133,mixed,risk_contribution
2020-08-27,America,0,wp,TRUE,0.163366178560525,mixed,risk_contribution
2020-08-27,Asia,0,wp,TRUE,0.41500424071768477,mixed,risk_contribution
2020-08-27,Eastern Mediterranean,0,wp,TRUE,0.10857519362407189,mixed,risk_contribution
2020-08-27,Europe,0,wp,TRUE,0.21589305414707674,mixed,risk_contribution
2020-08-28,Africa,0,wp,TRUE,0.09670631040055348,mixed,risk_contribution
2020-08-28,America,0,wp,TRUE,0.16355061153724418,mixed,risk_contribution
2020-08-28,Asia,0,wp,TRUE,0.41972253648119107,mixed,risk_contribution
2020-08-28,Eastern Mediterranean,0,wp,TRUE,0.10919541729455225,mixed,risk_contribution
2020-08-28,Europe,0,wp,TRUE,0.21082512428645997,mixed,risk_contribution
2020-08-29,Africa,0,wp,TRUE,0.09877232115438185,mixed,risk_contribution
2020-08-29,America,0,wp,TRUE,0.16617262794529275,mixed,risk_contribution
2020-08-29,Asia,0,wp,TRUE,0.4174309245875943,mixed,risk_contribution
2020-08-29,Eastern Mediterranean,0,wp,TRUE,0.10882443655889046,mixed,risk_contribution
2020-08-29,Europe,0,wp,TRUE,0.20879968975384056,mixed,risk_contribution
2020-08-30,Africa,0,wp,TRUE,0.10191107376655884,mixed,risk_contribution
2020-08-30,America,0,wp,TRUE,0.18237116614734108,mixed,risk_contribution
2020-08-30,Asia,0,wp,TRUE,0.4057434259217655,mixed,risk_contribution
2020-08-30,Eastern Mediterranean,0,wp,TRUE,0.10238320751819692,mixed,risk_contribution
2020-08-30,Europe,0,wp,TRUE,0.2075911266461376,mixed,risk_contribution
2020-08-31,Africa,0,wp,TRUE,0.10300594431126667,mixed,risk_contribution
2020-08-31,America,0,wp,TRUE,0.19110314643872908,mixed,risk_contribution
2020-08-31,Asia,0,wp,TRUE,0.40864107605764266,mixed,risk_contribution
2020-08-31,Eastern Mediterranean,0,wp,TRUE,0.09147168459553057,mixed,risk_contribution
2020-08-31,Europe,0,wp,TRUE,0.2057781485968298,mixed,risk_contribution
2020-09-01,Africa,0,wp,TRUE,0.11130253329274682,mixed,risk_contribution
2020-09-01,America,0,wp,TRUE,0.192622687734331,mixed,risk_contribution
2020-09-01,Asia,0,wp,TRUE,0.41685627707418343,mixed,risk_contribution
2020-09-01,Eastern Mediterranean,0,wp,TRUE,0.07623998502296805,mixed,risk_contribution
2020-09-01,Europe,0,wp,TRUE,0.20297851687577048,mixed,risk_contribution
2020-09-02,Africa,0,wp,TRUE,0.10460198165341804,mixed,risk_contribution
2020-09-02,America,0,wp,TRUE,0.20007543543443315,mixed,risk_contribution
2020-09-02,Asia,0,wp,TRUE,0.4093493596783888,mixed,risk_contribution
2020-09-02,Eastern Mediterranean,0,wp,TRUE,0.08105845994227635,mixed,risk_contribution
2020-09-02,Europe,0,wp,TRUE,0.2049147632914844,mixed,risk_contribution
2020-09-03,Africa,0,wp,TRUE,0.10550394286496793,mixed,risk_contribution
2020-09-03,America,0,wp,TRUE,0.19867582897165328,mixed,risk_contribution
2020-09-03,Asia,0,wp,TRUE,0.4141049651093323,mixed,risk_contribution
2020-09-03,Eastern Mediterranean,0,wp,TRUE,0.08078921308718186,mixed,risk_contribution
2020-09-03,Europe,0,wp,TRUE,0.2009260499668652,mixed,risk_contribution
2020-09-04,Africa,0,wp,TRUE,0.10460948020261242,mixed,risk_contribution
2020-09-04,America,0,wp,TRUE,0.20073691463775428,mixed,risk_contribution
2020-09-04,Asia,0,wp,TRUE,0.4101597767183084,mixed,risk_contribution
2020-09-04,Eastern Mediterranean,0,wp,TRUE,0.08308020488226765,mixed,risk_contribution
2020-09-04,Europe,0,wp,TRUE,0.20141362355905748,mixed,risk_contribution
2020-09-05,Africa,0,wp,TRUE,0.11316935544557416,mixed,risk_contribution
