date,num_edge,edge_density,CC_global,assortativity,threshold_val,threshold_type
2020-03-04,421,0.14388243335611756,0.7090622813156053,0.5701629176026388,0.5,r
2020-03-05,475,0.14302920806985847,0.6561758658864463,0.3725283529556305,0.5,r
2020-03-06,527,0.14087142475273992,0.6417994641094344,0.1801579558888799,0.5,r
2020-03-07,550,0.12582932967284374,0.6443408223823655,0.19498754053350192,0.5,r
2020-03-08,547,0.11276025561739847,0.5906362545018007,0.17168863875952597,0.5,r
2020-03-09,521,0.10316831683168318,0.5203557988368115,0.2634202769749974,0.5,r
2020-03-10,631,0.11556776556776557,0.6,0.628248820695762,0.5,r
2020-03-11,705,0.11759799833194329,0.6281050390347764,0.4827972765546905,0.5,r
2020-03-12,721,0.11393805309734514,0.61125518672199175,0.4723219072999002,0.5,r
2020-03-13,1215,0.15932336742722267,0.6624832425340141,0.565619276373139,0.5,r
2020-03-14,1185,0.13705759888965996,0.6613912021839041,0.6092231950703016,0.5,r
2020-03-15,1355,0.14127828172244813,0.6279531706142595,0.47806956049333427,0.5,r
2020-03-16,1463,0.13633398564905413,0.6115411477127226,0.4191977571471669,0.5,r
2020-03-17,1631,0.14993564993564992,0.6385235014353657,0.5665545451924612,0.5,r
2020-03-18,2309,0.19346459991621281,0.6651120179895061,0.566732258599172,0.5,r
2020-03-19,2131,0.161402711504961,0.6159410600631118,0.559070396154471,0.5,r
2020-03-20,2042,0.15466181928349618,0.5764230123607508,0.5059381349159024,0.5,r
2020-03-21,1785,0.13519654623949104,0.5283073249063285,0.48671655085822735,0.5,r
2020-03-22,1597,0.12095735817617208,0.5187711491833418,0.48061446455780554,0.5,r
2020-03-23,1487,0.11125243154272033,0.5318945760122231,0.4969452437797911,0.5,r
2020-03-24,1387,0.1037707616339967,0.5134706814580031,0.48070148487421827,0.5,r
2020-03-25,1308,0.09786024240610504,0.49506454062262717,0.41805516497367745,0.5,r
2020-03-26,1204,0.09007930570103248,0.44240340705013087,0.3522019764982302,0.5,r
2020-03-27,1135,0.08596531091418617,0.44105386026346505,0.4661815356364791,0.5,r
2020-03-28,1119,0.08475346512156327,0.4272643572332835,0.4054022360189573,0.5,r
