ref_date,stat,value,type
2020-05-12,num_edge,643,actual
2020-05-12,edge_density,0.0560299756012548,actual
2020-05-12,CC_global,0.31780773945018387,actual
2020-05-12,assortativity,0.33892041190539357,actual
2020-05-13,num_edge,604,actual
2020-05-13,edge_density,0.052631578947368425,actual
2020-05-13,CC_global,0.3159478435305918,actual
2020-05-13,assortativity,0.29992865851898387,actual
2020-05-14,num_edge,602,actual
2020-05-14,edge_density,0.052457302195887075,actual
2020-05-14,CC_global,0.3129603822416882,actual
2020-05-14,assortativity,0.24522286374037958,actual
2020-05-15,num_edge,619,actual
2020-05-15,edge_density,0.05393865458347857,actual
2020-05-15,CC_global,0.33534743202416917,actual
2020-05-15,assortativity,0.3618141077251177,actual
2020-05-16,num_edge,600,actual
2020-05-16,edge_density,0.05228302544440572,actual
2020-05-16,CC_global,0.34309961608405737,actual
2020-05-16,assortativity,0.317123543028152,actual
2020-05-17,num_edge,608,actual
2020-05-17,edge_density,0.052980132450331126,actual
2020-05-17,CC_global,0.3396115361977634,actual
2020-05-17,assortativity,0.34284968305424757,actual
2020-05-18,num_edge,618,actual
2020-05-18,edge_density,0.05385151620773789,actual
2020-05-18,CC_global,0.3336480362537764,actual
2020-05-18,assortativity,0.35560102959293144,actual
2020-05-19,num_edge,608,actual
2020-05-19,edge_density,0.05440715883668904,actual
2020-05-19,CC_global,0.32272817657586,actual
2020-05-19,assortativity,0.2315566062793628,actual
2020-05-20,num_edge,622,actual
2020-05-20,edge_density,0.057179628608200035,actual
2020-05-20,CC_global,0.32293647774819323,actual
2020-05-20,assortativity,0.2795633378898254,actual
2020-05-21,num_edge,663,actual
2020-05-21,edge_density,0.05932885906040268,actual
2020-05-21,CC_global,0.40242733950814435,actual
2020-05-21,assortativity,0.5907786870630587,actual
2020-05-22,num_edge,731,actual
2020-05-22,edge_density,0.06719985291413863,actual
2020-05-22,CC_global,0.4405421331761933,actual
2020-05-22,assortativity,0.5572544124623462,actual
2020-05-23,num_edge,730,actual
2020-05-23,edge_density,0.0671079242507814,actual
2020-05-23,CC_global,0.4153790873158462,actual
2020-05-23,assortativity,0.4743552580289918,actual
2020-05-24,num_edge,741,actual
2020-05-24,edge_density,0.06720478868129874,actual
2020-05-24,CC_global,0.4350474405528874,actual
2020-05-24,assortativity,0.4997894227936614,actual
2020-05-25,num_edge,725,actual
2020-05-25,edge_density,0.06664828093399522,actual
2020-05-25,CC_global,0.4181311356199249,actual
2020-05-25,assortativity,0.39903025626427596,actual
2020-05-26,num_edge,695,actual
2020-05-26,edge_density,0.06303283148920732,actual
2020-05-26,CC_global,0.41475586727812247,actual
2020-05-26,assortativity,0.44854418738092033,actual
2020-05-27,num_edge,716,actual
2020-05-27,edge_density,0.06493742064211863,actual
2020-05-27,CC_global,0.40976951283394447,actual
2020-05-27,assortativity,0.4691669697392373,actual
2020-05-28,num_edge,683,actual
2020-05-28,edge_density,0.0611185682326622,actual
2020-05-28,CC_global,0.3979243673585442,actual
2020-05-28,assortativity,0.4270620455413933,actual
2020-05-29,num_edge,673,actual
2020-05-29,edge_density,0.06022371364653244,actual
2020-05-29,CC_global,0.385540423065778,actual
2020-05-29,assortativity,0.44894673177998357,actual
2020-05-30,num_edge,693,actual
2020-05-30,edge_density,0.06201342281879195,actual
2020-05-30,CC_global,0.38976539991768416,actual
2020-05-30,assortativity,0.4782791425643665,actual
2020-05-31,num_edge,719,actual
2020-05-31,edge_density,0.0634878587196468,actual
2020-05-31,CC_global,0.38514864684708705,actual
2020-05-31,assortativity,0.4353669155137258,actual
2020-06-01,num_edge,748,actual
2020-06-01,edge_density,0.0651795050540258,actual
2020-06-01,CC_global,0.4369925873632192,actual
2020-06-01,assortativity,0.5322033472114377,actual
2020-06-02,num_edge,721,actual
2020-06-02,edge_density,0.06282676890902754,actual
2020-06-02,CC_global,0.42075949367088605,actual
2020-06-02,assortativity,0.5408427874918391,actual
2020-06-03,num_edge,693,actual
2020-06-03,edge_density,0.0603868943882886,actual
2020-06-03,CC_global,0.4370533260032985,actual
2020-06-03,assortativity,0.5144665491151058,actual
2020-06-04,num_edge,675,actual
2020-06-04,edge_density,0.05881840362495643,actual
2020-06-04,CC_global,0.3697266550797914,actual
2020-06-04,assortativity,0.34671410892685045,actual
2020-06-05,num_edge,592,actual
2020-06-05,edge_density,0.05158591843848031,actual
2020-06-05,CC_global,0.32435925048460046,actual
2020-06-05,assortativity,0.10840373842233397,actual
2020-06-06,num_edge,601,actual
2020-06-06,edge_density,0.05237016382014639,actual
2020-06-06,CC_global,0.32173734046932895,actual
2020-06-06,assortativity,0.14285846964632684,actual
2020-06-07,num_edge,596,actual
2020-06-07,edge_density,0.05262693156732892,actual
2020-06-07,CC_global,0.3041009463722397,actual
2020-06-07,assortativity,0.19147546756968792,actual
2020-06-08,num_edge,565,actual
2020-06-08,edge_density,0.0512425176854707,actual
2020-06-08,CC_global,0.3186988171064604,actual
2020-06-08,assortativity,0.1643181097786972,actual
2020-06-09,num_edge,583,actual
2020-06-09,edge_density,0.05287502267368039,actual
2020-06-09,CC_global,0.3251612903225806,actual
2020-06-09,assortativity,0.15322530156989145,actual
2020-06-10,num_edge,594,actual
2020-06-10,edge_density,0.05315436241610738,actual
2020-06-10,CC_global,0.31842160793416335,actual
2020-06-10,assortativity,0.1703865471226168,actual
2020-06-11,num_edge,591,actual
2020-06-11,edge_density,0.05288590604026846,actual
2020-06-11,CC_global,0.3184428844926611,actual
2020-06-11,assortativity,0.2700824495297841,actual
2020-06-12,num_edge,590,actual
2020-06-12,edge_density,0.053509885724650826,actual
2020-06-12,CC_global,0.34356477561388654,actual
2020-06-12,assortativity,0.20669444720173663,actual
2020-06-13,num_edge,583,actual
2020-06-13,edge_density,0.051479028697571746,actual
2020-06-13,CC_global,0.3513157894736842,actual
2020-06-13,assortativity,0.16807338643695716,actual
2020-06-14,num_edge,562,actual
2020-06-14,edge_density,0.05029082774049217,actual
2020-06-14,CC_global,0.29515209125475284,actual
2020-06-14,assortativity,0.18617192387621076,actual
2020-06-15,num_edge,611,actual
2020-06-15,edge_density,0.05395143487858719,actual
2020-06-15,CC_global,0.31046859421734796,actual
2020-06-15,assortativity,0.1711421635788276,actual
2020-06-16,num_edge,605,actual
2020-06-16,edge_density,0.05271871732310909,actual
2020-06-16,CC_global,0.336679381650271,actual
2020-06-16,assortativity,0.3282470916939597,actual
2020-06-17,num_edge,620,actual
2020-06-17,edge_density,0.054025792959219235,actual
2020-06-17,CC_global,0.32377740303541314,actual
2020-06-17,assortativity,0.2903651801650173,actual
2020-06-18,num_edge,610,actual
2020-06-18,edge_density,0.05315440920181248,actual
2020-06-18,CC_global,0.3324980724749422,actual
2020-06-18,assortativity,0.2676869193618542,actual
2020-06-19,num_edge,644,actual
2020-06-19,edge_density,0.05611711397699547,actual
2020-06-19,CC_global,0.338513155571252,actual
2020-06-19,assortativity,0.24756960769582603,actual
2020-06-20,num_edge,613,actual
2020-06-20,edge_density,0.05485458612975392,actual
2020-06-20,CC_global,0.32723068028521873,actual
2020-06-20,assortativity,0.267444219769076,actual
2020-06-21,num_edge,616,actual
2020-06-21,edge_density,0.05439293598233996,actual
2020-06-21,CC_global,0.33697261287934865,actual
2020-06-21,assortativity,0.3519481736604104,actual
2020-06-22,num_edge,622,actual
2020-06-22,edge_density,0.05420006971070059,actual
2020-06-22,CC_global,0.3364281813216821,actual
